Dataset Name,Algorithm Name,Cross Validation [1-10),Hyper-Parameter Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time (seconds),Inference Time (seconds)
ar4.csv,improvement,1,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.7348484848484849,0.3765873015873015,0.42716049382716054,0.4007575757575758,0.4467592592592593,0.3600168350168351,0.8130286733309428,0.11920547485351562
ar4.csv,improvement,2,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.9090909090909095,0.6138888888888888,0.26851851851851855,0.9499999999999998,0.9398148148148149,0.4749999999999999,0.6118747393290201,0.08674665292104085
ar4.csv,improvement,3,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.6742424242424243,0.41904761904761906,0.46455026455026455,0.39305555555555555,0.4351851851851852,0.3246913580246914,0.99046790599823,0.14376755555470785
ar4.csv,improvement,4,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.9015151515151517,0.6055555555555554,0.392283950617284,0.9049242424242423,0.7638888888888888,0.46950757575757573,0.7498705585797628,0.10950944821039836
ar4.csv,improvement,5,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.9621212121212123,0.625,0.25,0.9375,1.0,0.037037037037037056,0.5489403605461121,0.0784224271774292
ar4.csv,improvement,6,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.8181818181818182,0.5354166666666665,0.3618386243386244,0.4090909090909091,0.8009259259259259,0.4090909090909091,0.6995428601900736,0.09799871842066447
ar4.csv,improvement,7,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.984848484848485,0.625,0.25,0.9819444444444443,1.0,0.04729938271604939,0.8380773663520813,0.12425072987874348
ar4.csv,improvement,8,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.8500000000000001,0.6517361111111112,0.43494543650793643,0.8159722222222222,0.75,0.3650173611111111,0.5572006503740946,0.08040893077850342
ar4.csv,improvement,9,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.7999999999999999,0.6317460317460318,0.3618551587301588,0.6635416666666667,0.8645833333333334,0.2696614583333333,0.837210456530253,0.11633626619974773
ar4.csv,improvement,10,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}, train_split_size: 0.39999999999999997, prob_limit: 0.8374999999999999",0.8500000000000002,0.546031746031746,0.4447420634920635,0.6722222222222222,0.6145833333333334,0.43611111111111117,0.7868719895680746,0.11624844868977864
