,dataset_name,model,fold_n,train_split_size,prob_limit,best_params,accuracy,tpr,fpr,precision,auc-roc,auc-pr,fit_time_second,1000_predict_time_seconds
1303,autos.csv,improvement,8,0.4,0.9,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.8125,0.7447916666666666,0.26145833333333335,0.7619047619047619,1.0,1.0,0.8299660682678223,0.13800311088562012
1304,autos.csv,improvement,8,0.5,0.9,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.8125,0.7644230769230769,0.3067307692307692,0.7619047619047619,1.0,1.0,0.8610045909881592,0.13000202178955078
1305,autos.csv,improvement,8,0.3,0.95,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.8125,0.7215909090909091,0.20681818181818182,0.7619047619047619,1.0,1.0,0.8730065822601318,0.15400171279907227
1306,autos.csv,improvement,8,0.4,0.95,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.8125,0.7215909090909091,0.20795454545454548,0.7619047619047619,1.0,1.0,0.8259665966033936,0.12704229354858398
1307,autos.csv,improvement,8,0.5,0.95,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.8125,0.7215909090909091,0.20909090909090908,0.7619047619047619,1.0,1.0,0.8980441093444824,0.13095688819885254
1308,autos.csv,improvement,9,0.3,0.7,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.7238095238095238,0.4304761904761905,1.0,-1.0,,0.5249695777893066,0.0759885311126709
1309,autos.csv,improvement,9,0.4,0.7,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.7851851851851852,0.522962962962963,1.0,-1.0,,0.4920046329498291,0.08296656608581543
1310,autos.csv,improvement,9,0.5,0.7,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",1.0,0.7583333333333333,0.5516666666666666,1.0,-1.0,,0.8319704532623291,0.1260387897491455
1311,autos.csv,improvement,9,0.3,0.8,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.8066666666666666,0.548,1.0,-1.0,,0.5520036220550537,0.08100199699401855
1312,autos.csv,improvement,9,0.4,0.8,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.8512820512820513,0.5005128205128205,1.0,-1.0,,0.5210385322570801,0.08800339698791504
1313,autos.csv,improvement,9,0.5,0.8,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",1.0,0.6133333333333333,0.38666666666666666,1.0,-1.0,,0.8230071067810059,0.14199471473693848
1314,autos.csv,improvement,9,0.3,0.9,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.8242424242424242,0.5163636363636364,1.0,-1.0,,0.5019800662994385,0.07603287696838379
1315,autos.csv,improvement,9,0.4,0.9,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.8388888888888889,0.4677777777777778,1.0,-1.0,,0.5030393600463867,0.07500004768371582
1316,autos.csv,improvement,9,0.5,0.9,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.8066666666666666,0.49333333333333335,1.0,-1.0,,0.49300479888916016,0.07665753364562988
1317,autos.csv,improvement,9,0.3,0.95,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.7238095238095238,0.4552380952380952,1.0,-1.0,,0.5040664672851562,0.07700061798095703
1318,autos.csv,improvement,9,0.4,0.95,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.7238095238095238,0.42666666666666664,1.0,-1.0,,0.506972074508667,0.07503628730773926
1319,autos.csv,improvement,9,0.5,0.95,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",1.0,0.6777777777777777,0.41111111111111115,1.0,-1.0,,0.5410161018371582,0.07796597480773926
1320,balance-scale.csv,improvement,0,0.3,0.7,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",0.8571428571428571,0.7601887601887601,0.2368082368082368,0.5717171717171717,0.7535869996036464,0.06854985325845374,1.046973705291748,0.1130375862121582
