,dataset_name,model,fold_n,train_split_size,best_params,accuracy,tpr,fpr,precision,auc-roc,auc-pr,fit_time_second,1000_predict_time_seconds
932,hill-valley.csv,pseudo,3,0.3,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",0.5041322314049587,0.48388888888888887,0.45874316939890714,0.5045454545454545,0.5226775956284153,0.04590536512667662,7.451231002807617,0.15200519561767578
933,hill-valley.csv,pseudo,3,0.4,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.5371900826446281,0.525,0.501463700234192,0.5373154729360305,0.5204918032786886,0.013653098082800786,22.511666297912598,0.23704075813293457
934,hill-valley.csv,pseudo,3,0.5,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.5206611570247934,0.5135593220338983,0.49986107252014444,0.520970394736842,0.5114754098360657,0.03031876887402936,22.808995246887207,0.24297142028808594
935,hill-valley.csv,pseudo,3,0.6,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5289256198347108,0.5122549019607843,0.4944551591128254,0.5305633802816901,0.5180327868852459,0.0923412221965674,8.308265209197998,0.07300138473510742
936,hill-valley.csv,pseudo,4,0.3,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.47107438016528924,0.4988700564971752,0.48735759933314804,0.46574074074074073,0.5051912568306012,0.1580464480874317,23.457730293273926,0.31597328186035156
937,hill-valley.csv,pseudo,4,0.4,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5206611570247934,0.5598958333333334,0.49410860655737704,0.5212121212121212,0.5704918032786885,0.04756416625269085,9.840261697769165,0.11604642868041992
938,hill-valley.csv,pseudo,4,0.5,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.5454545454545454,0.5042328042328043,0.4225865209471767,0.5457033388067871,0.5729508196721311,0.022961288026296486,16.24847984313965,0.18203330039978027
939,hill-valley.csv,pseudo,4,0.6,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5454545454545454,0.5144067796610169,0.44484579049736034,0.5457033388067871,0.5722677595628415,0.022961288026296486,9.763303518295288,0.11200356483459473
940,hill-valley.csv,pseudo,5,0.3,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.5206611570247934,0.532,0.5090710382513662,0.5204532891100055,0.5254098360655738,0.055742538068612596,20.951609134674072,0.2700529098510742
941,hill-valley.csv,pseudo,5,0.4,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5289256198347108,0.49756097560975615,0.46281487405037985,0.5288568257491676,0.5379781420765027,0.0653123730160174,8.226267099380493,0.09696149826049805
942,hill-valley.csv,pseudo,5,0.5,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5289256198347108,0.5155737704918032,0.4826659500134373,0.5289915966386555,0.5348360655737706,0.0828175368508059,8.378300666809082,0.10000443458557129
943,hill-valley.csv,pseudo,5,0.6,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5371900826446281,0.5406392694063927,0.5039299348753649,0.5373467112597548,0.5407103825136612,0.07516981315983455,8.186256408691406,0.09600424766540527
944,hill-valley.csv,pseudo,6,0.3,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.49586776859504134,0.48320343993550113,0.4879781420765027,0.49603174603174605,0.49426229508196723,0.02046469771879612,23.950788497924805,0.2469642162322998
945,hill-valley.csv,pseudo,6,0.4,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.4793388429752066,0.5363819384526891,0.5526315789473685,0.4792236194641881,0.5084699453551913,0.01204605819418177,23.71473717689514,0.2990076541900635
946,hill-valley.csv,pseudo,6,0.5,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.5041322314049587,0.49958321756043345,0.4887005649717514,0.503968253968254,0.516120218579235,0.020792132882296827,23.81586742401123,0.29697513580322266
947,hill-valley.csv,pseudo,6,0.6,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.512396694214876,0.5348666503547834,0.5358208955223881,0.5125889436234263,0.5051912568306011,0.021287846839005684,9.472126960754395,0.09795737266540527
948,hill-valley.csv,pseudo,7,0.3,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5785123966942148,0.5354309888947647,0.40322580645161277,0.5798319327731092,0.6265027322404371,0.09030169444827107,9.223121166229248,0.0910027027130127
949,hill-valley.csv,pseudo,7,0.4,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.5867768595041323,0.5944036178631995,0.47701149425287354,0.5869505494505495,0.6229508196721311,0.04281852368942532,15.52623987197876,0.14600253105163574
