,dataset_name,model,fold_n,best_params,accuracy,tpr,fpr,precision,auc-roc,auc-pr,fit_time_second,1000_predict_time_seconds
25,acute-nephritis.csv,baseline,5,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",1.0,0.6857142857142857,0.2857142857142857,1.0,1.0,0.0,0.40599656105041504,0.04400277137756348
26,acute-nephritis.csv,baseline,6,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",1.0,0.6799999999999999,0.22857142857142856,1.0,1.0,0.0,2.3549985885620117,0.24700093269348145
27,acute-nephritis.csv,baseline,7,"{'n_estimators': 1400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",1.0,0.6799999999999999,0.2571428571428571,1.0,1.0,0.0,2.6309988498687744,0.2720003128051758
28,acute-nephritis.csv,baseline,8,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",1.0,0.65,0.25,1.0,1.0,0.0,1.54600191116333,0.18999910354614258
29,acute-nephritis.csv,baseline,9,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",1.0,0.72,0.2571428571428571,1.0,1.0,0.0,2.454996109008789,0.3130021095275879
30,analcatdata_asbestos.csv,baseline,0,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",1.0,0.6666666666666666,0.26666666666666666,1.0,1.0,0.0,3.330961227416992,0.34503698348999023
31,analcatdata_asbestos.csv,baseline,1,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 60, 'bootstrap': False}",0.7777777777777778,0.625,0.25,0.8333333333333333,1.0,0.3333333333333333,3.1610000133514404,0.39999914169311523
32,analcatdata_asbestos.csv,baseline,2,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.6666666666666666,0.5833333333333334,0.43333333333333335,0.6666666666666666,0.7,0.2,2.2240002155303955,0.2269573211669922
33,analcatdata_asbestos.csv,baseline,3,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.75,0.625,0.4166666666666667,0.8333333333333333,0.8125,0.41666666666666663,0.37400007247924805,0.04095768928527832
34,analcatdata_asbestos.csv,baseline,4,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.75,0.75,0.3333333333333333,0.75,0.9375,0.0,3.1070005893707275,0.3939995765686035
35,analcatdata_asbestos.csv,baseline,5,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",1.0,0.625,0.25,1.0,1.0,0.0,2.228959083557129,0.22699546813964844
36,analcatdata_asbestos.csv,baseline,6,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",0.625,0.625,0.3333333333333333,0.6333333333333333,0.875,0.15833333333333333,2.252011775970459,0.23403382301330566
37,analcatdata_asbestos.csv,baseline,7,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': False}",0.75,0.75,0.5,0.8,0.8,0.32000000000000006,3.095998525619507,0.39300012588500977
38,analcatdata_asbestos.csv,baseline,8,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",1.0,0.5833333333333333,0.25,1.0,1.0,0.0,2.2570009231567383,0.22900080680847168
39,analcatdata_asbestos.csv,baseline,9,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 80, 'bootstrap': True}",0.75,0.611111111111111,0.2333333333333333,0.8571428571428572,0.9333333333333333,0.5714285714285715,1.8539679050445557,0.19203424453735352
40,analcatdata_boxing1.csv,baseline,0,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': True}",0.9166666666666666,0.578125,0.1875,0.9444444444444444,0.96875,0.2361111111111111,1.1165218353271484,0.11796402931213379
41,analcatdata_boxing1.csv,baseline,1,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",0.5833333333333334,0.5113636363636364,0.45454545454545453,0.5,0.5625,0.25,0.9569997787475586,0.11700057983398438
42,analcatdata_boxing1.csv,baseline,2,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.6666666666666666,0.671875,0.4375,0.625,0.84375,0.15625,3.4210000038146973,0.34999680519104004
43,analcatdata_boxing1.csv,baseline,3,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.8333333333333334,0.575,0.2,0.9,1.0,0.45,3.400218963623047,0.3430054187774658
44,analcatdata_boxing1.csv,baseline,4,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.5833333333333334,0.625,0.5,0.3181818181818182,0.71875,0.2784090909090909,2.4619996547698975,0.303999662399292
45,analcatdata_boxing1.csv,baseline,5,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.5833333333333334,0.59375,0.5,0.5571428571428572,0.59375,0.06964285714285715,0.3759644031524658,0.041002750396728516
46,analcatdata_boxing1.csv,baseline,6,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.5833333333333334,0.5416666666666666,0.4444444444444444,0.3181818181818182,0.65625,0.2784090909090909,0.37600135803222656,0.0429997444152832
47,analcatdata_boxing1.csv,baseline,7,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.6666666666666666,0.671875,0.375,0.6,0.875,0.375,0.3760416507720947,0.03987312316894531
48,analcatdata_boxing1.csv,baseline,8,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': True}",0.75,0.6428571428571429,0.3666666666666667,0.85,0.9142857142857143,0.51,3.3499629497528076,0.3469884395599365
49,analcatdata_boxing1.csv,baseline,9,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.6666666666666666,0.6428571428571429,0.43333333333333335,0.6666666666666666,0.8857142857142857,0.3047619047619047,0.3659985065460205,0.03900027275085449
50,analcatdata_broadwaymult.csv,baseline,0,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",0.4444444444444444,0.6149870801033591,0.28136663795578526,0.35934065934065934,0.7358465608465609,0.8379774060480581,3.561934471130371,0.3694143295288086
51,analcatdata_broadwaymult.csv,baseline,1,"{'n_estimators': 1600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 90, 'bootstrap': False}",0.4074074074074074,0.5749158249158248,0.25982042648709314,0.2959183673469387,0.7424603174603176,0.7571538787299656,2.6609926223754883,0.3240063190460205
